id,data
556,"(_556:看 {description: '""\u4e13\u5bb6\u4eec\u53ef\u80fd\u8fdb\u884c\u7684\u6d3b\u52a8\uff0c\u5982\u67e5\u770b\u3001\u8bc4\u4f30\u6216\u5206\u6790\u67d0\u4e8b\u7269\u3002""<SEP>""\u53bb\u5317\u4eac\u770b\u5929\u5b89\u95e8\u7684\u884c\u4e3a\u3002""<SEP>""\u63cf\u8ff0\u4e86\u5728\u5bb6\u89c2\u770b\u88ab\u96e8\u6dcb\u7684\u4eba\u7684\u6d3b\u52a8\u3002""<SEP>""\u63cf\u8ff0\u4f5c\u8005\u89c2\u770b\u8fc7\u8def\u7684\u4eba\u548c\u8f66\u7684\u884c\u4e3a\u3002""<SEP>""\u770b\u6211\u5988\u5bb6\u7684\u884c\u4e3a\u3002""<SEP>""\u6d89\u53ca\u89c2\u770b\u3001\u89c2\u8d4f\u7b49\u6d3b\u52a8\u7684\u6982\u5ff5\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-7a782995d0f585c1fa9f90fb3ae0167e<SEP>chunk-898fb2e426406f3eb197470e611f2eb4<SEP>chunk-df6e2009a7ef8f4fb156c3cb8d06d2f5<SEP>chunk-f78c243f202163d9f6af2b81d782c38f<SEP>chunk-968e400e5f61652536dc6a59aeb34f54<SEP>chunk-956c731b693d15db9e9617be6b0ce37f'})"
557,"(_557:我妈家 {description: '""\u60f3\u56de\u6211\u5988\u5bb6\u770b\u770b\u7684\u5730\u65b9\u3002""', entity_type: '""\u5730\u7406\u4f4d\u7f6e""', source_id: 'chunk-f78c243f202163d9f6af2b81d782c38f'})"
558,"(_558:北京的高考 {description: '""\u5317\u4eac\u4e3e\u884c\u7684\u9ad8\u8003\u6d3b\u52a8\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-d61b18eba7f9aaa94ba0eda8f4009b9c'})"
559,"(_559:拥挤 {description: '""\u5f62\u5bb9\u4e94\u4e00\u671f\u95f4\u51fa\u884c\u4eba\u7fa4\u62e5\u6324\u7684\u72b6\u6001\u3002""<SEP>""\u5f62\u5bb9\u4eba\u591a\u62e5\u6324\u7684\u72b6\u6001\u3002""<SEP>""\u907f\u514d\u7684\u8d1f\u9762\u73b0\u8c61\u3002""<SEP>""\u63cf\u8ff0\u666f\u70b9\u5f53\u524d\u72b6\u51b5\u7684\u8bcd\u8bed\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-6eda6fafb02c4067688c4ecf80200632<SEP>chunk-5f60e83b6d7eed4d2ece10bec1bdd2a0<SEP>chunk-ec94402361b42e703a4fca3890608fdd<SEP>chunk-2a88cb5da09aed5264c371e26748e82c'})"
560,"(_560:挤 {description: '""\u5f62\u5bb9\u4eba\u591a\u62e5\u6324\u7684\u573a\u666f\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-5f60e83b6d7eed4d2ece10bec1bdd2a0'})"
561,"(_561:通讯 {description: '""\u6d89\u53ca\u4fe1\u606f\u4f20\u9012\u548c\u4ea4\u6d41\u7684\u7c7b\u522b\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-396cd593a74b67e39c8e30b093313657'})"
562,"(_562:游戏 {description: '""\u4e00\u79cd\u5a31\u4e50\u6d3b\u52a8\u6216\u7535\u5b50\u4ea7\u54c1\u7684\u7c7b\u578b\u3002""<SEP>""\u4e09\u56fd\u6740\u5c5e\u4e8e\u7684\u4e00\u79cd\u5a31\u4e50\u7c7b\u522b\u3002""<SEP>""\u5728\u5bb6\u70b8\u91d1\u82b1\u662f\u4e00\u79cd\u5a31\u4e50\u6d3b\u52a8\u3002""<SEP>""\u5728\u624b\u673a\u4e0a\u73a9\u7684\u6e38\u620f\u7c7b\u522b\u3002""<SEP>""\u738b\u6c6a\u65fa\u5728\u7535\u8111\u548c\u624b\u673a\u4e0a\u73a9\u7684\u6d3b\u52a8\u3002""<SEP>""\u5a31\u4e50\u6d3b\u52a8\uff0c\u6307\u5728\u5bb6\u73a9\u7684\u6e38\u620f\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-71f5b55a1bdf24966c5b65bf3db18429<SEP>chunk-176dc58908f88a1d43fbe38859940e26<SEP>chunk-396cd593a74b67e39c8e30b093313657<SEP>chunk-6e7bc8d35072ef37e391b3d9a7f15035<SEP>chunk-9297dbfd8c06214d6c4cad635fd9547a<SEP>chunk-c4a0ba98b3d1e5b99ea9f300838a42dd'})"
563,"(_563:应用软件 {description: '""\u5b89\u88c5\u5728\u624b\u673a\u4e0a\u7684\u5e94\u7528\u7a0b\u5e8f\u6216\u8f6f\u4ef6\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-396cd593a74b67e39c8e30b093313657'})"
564,"(_564:社交网络 {description: '""\u5728\u624b\u673a\u4e0a\u4f7f\u7528\u7684\u793e\u4ea4\u5e73\u53f0\u6216\u7f51\u7edc\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-396cd593a74b67e39c8e30b093313657'})"
565,"(_565:电子设备 {description: '""\u6307\u901a\u8fc7\u7535\u5b50\u5143\u4ef6\u548c\u7535\u8def\u5b9e\u73b0\u7279\u5b9a\u529f\u80fd\u7684\u8bbe\u5907\u3002""<SEP>""\u6d89\u53ca\u7535\u5b50\u6280\u672f\u4ea7\u54c1\u7684\u7c7b\u522b\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-396cd593a74b67e39c8e30b093313657<SEP>chunk-9c2ca1f42a2838e5ac01bbc09fad2e26'})"
566,"(_566:自由活动 {description: '""\u5728\u5c0f\u533a\u5185\u8fdb\u884c\u7684\u81ea\u7531\u6d3b\u52a8\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-c8816f843b11e8f2be151232de026066'})"
567,"(_567:和平精英 {description: '""\u548c\u5e73\u7cbe\u82f1\u6e38\u620f\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-5655de9c9b0a0e33db8f2ff0de95ff61'})"
568,"(_568:和平精英游戏玩家 {description: '""\u53c2\u52a0\u548c\u5e73\u7cbe\u82f1\u4e94\u65e5\u6e38\u6d3b\u52a8\u7684\u73a9\u5bb6\u3002""', entity_type: '""\u4eba\u7269""', source_id: 'chunk-5655de9c9b0a0e33db8f2ff0de95ff61'})"
569,"(_569:雾海曲组织成员 {description: '""\u96fe\u6d77\u66f2\u7ec4\u7ec7\u7684\u6210\u5458\u3002""', entity_type: '""\u4eba\u7269""', source_id: 'chunk-5655de9c9b0a0e33db8f2ff0de95ff61'})"
570,"(_570:雾海曲组织 {description: '""\u4e3e\u529e\u548c\u5e73\u7cbe\u82f1\u4e94\u65e5\u6e38\u6d3b\u52a8\u7684\u7ec4\u7ec7\u3002""', entity_type: '""\u7ec4\u7ec7""', source_id: 'chunk-5655de9c9b0a0e33db8f2ff0de95ff61'})"
571,"(_571:雾海曲 {description: '""\u96fe\u6d77\u66f2\u7ec4\u7ec7\u4e3e\u529e\u7684\u548c\u5e73\u7cbe\u82f1\u4e94\u65e5\u6e38\u6d3b\u52a8\u3002""', entity_type: '""\u7ec4\u7ec7""', source_id: 'chunk-5655de9c9b0a0e33db8f2ff0de95ff61'})"
572,"(_572:五日游 {description: '""\u4e94\u65e5\u6e38\u662f\u4e00\u79cd\u65c5\u6e38\u6d3b\u52a8\u5f62\u5f0f\u3002""<SEP>""\u6307\u8bc4\u8bba\u8005\u8ba1\u5212\u5728\u5367\u5ba4\u5185\u5ea6\u8fc7\u4e94\u5929\u7684\u6d3b\u52a8\u3002""<SEP>""\u96fe\u6d77\u66f2\u7ec4\u7ec7\u4e3e\u529e\u7684\u548c\u5e73\u7cbe\u82f1\u4e94\u65e5\u6e38\u6d3b\u52a8\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-5655de9c9b0a0e33db8f2ff0de95ff61<SEP>chunk-6b20c3bf4ffceab7b6470d91b7293999<SEP>chunk-64f041986083df29560da48571eea717'})"
573,"(_573:和平精英五日游 {description: '""\u96fe\u6d77\u66f2\u7ec4\u7ec7\u4e3e\u529e\u7684\u548c\u5e73\u7cbe\u82f1\u4e94\u65e5\u6e38\u6d3b\u52a8\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-5655de9c9b0a0e33db8f2ff0de95ff61'})"
574,"(_574:光荣 {description: '""\u5149\u8363\u662f\u4e00\u79cd\u793e\u4f1a\u8bc4\u4ef7\uff0c\u6307\u503c\u5f97\u5c0a\u656c\u548c\u8d5e\u626c\u7684\u884c\u4e3a\u6216\u54c1\u8d28\u3002""<SEP>""\u6307\u503c\u5f97\u5c0a\u656c\u548c\u8d5e\u626c\u7684\u3002""<SEP>""\u6307\u52b3\u52a8\u4eba\u5e94\u6709\u7684\u5c0a\u4e25\u548c\u8363\u8a89\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-028e9ea5a8a57889013f87337f5ccd69<SEP>chunk-0311842a31e9caf90dce6a2d5ca6e6eb'})"
575,"(_575:节日 {description: '""\u4e00\u5e74\u4e2d\u5e86\u795d\u7684\u7279\u6b8a\u65e5\u5b50\u3002""<SEP>""\u6d89\u53ca\u5e86\u795d\u548c\u4f11\u606f\u7684\u7279\u5b9a\u65e5\u671f\u3002""<SEP>""\u4e00\u79cd\u6587\u5316\u6216\u5386\u53f2\u7eaa\u5ff5\u65e5\u3002""<SEP>""\u4e0e\u5fd9\u76f8\u5173\u8054\u7684\u7279\u5b9a\u65f6\u95f4\u8282\u70b9\u3002""<SEP>""\u6307\u52b3\u52a8\u8282\u662f\u6309\u7167\u4e00\u5b9a\u7684\u65e5\u671f\u5e86\u795d\u7684\u8282\u65e5\u3002""<SEP>""\u6cdb\u6307\u6240\u6709\u8282\u65e5\uff0c\u5305\u62ec\u4f20\u7edf\u8282\u65e5\u548c\u73b0\u4ee3\u8282\u65e5\u3002""<SEP>""\u6307\u4ee3\u7279\u5b9a\u65e5\u671f\u5e86\u795d\u7684\u8282\u65e5\u3002""<SEP>""\u9700\u8981\u8865\u5047\u4ee5\u5e86\u795d\u7684\u7279\u5b9a\u65f6\u95f4\u3002""<SEP>""\u6307\u4ee3\u7279\u5b9a\u7684\u5e86\u795d\u65e5\uff0c\u53ef\u80fd\u6307\u4ee3\u7684\u662f\u67d0\u4e2a\u8282\u65e5\u3002""<SEP>""\u4e94\u4e00\u52b3\u52a8\u8282\u5c5e\u4e8e\u8282\u65e5\u7c7b\u522b\uff0c\u662f\u6bcf\u5e74\u56fa\u5b9a\u7684\u5e86\u795d\u65e5\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-028e9ea5a8a57889013f87337f5ccd69<SEP>chunk-ffc29fd10f7bba9a7f8294e5ec8c9529<SEP>chunk-6f2473d905c24d13f3c032e21e7c0af1<SEP>chunk-e8bf9b1ca8b4eabff48a36d39fa8a4ba<SEP>chunk-21547b8d642bcd4ec4456a7e4acdacb8<SEP>chunk-cd9491d1f1546c959c60fb5749a4dd91<SEP>chunk-46e1d39cc0874e4e9843a873b08bb2a8<SEP>chunk-e1ef2f2c00f294f687fb849e7ebb82b9<SEP>chunk-dabbe9eb97989d6b48618ad46b9493bc<SEP>chunk-7685406db802ec71c82c5a67ca873fdf'})"
576,"(_576:价值 {description: '""\u5bf9\u67d0\u4eba\u6216\u67d0\u4e8b\u7684\u91cd\u8981\u6027\u548c\u6709\u7528\u6027\u3002""', entity_type: '""\u6982\u5ff5""', source_id: 'chunk-028e9ea5a8a57889013f87337f5ccd69'})"
577,"(_577:尊严 {description: '""\u4e00\u4e2a\u4eba\u7684\u81ea\u5c0a\u548c\u53d7\u5230\u5c0a\u91cd\u7684\u6743\u5229\u3002""<SEP>""\u5c0a\u4e25\u662f\u6307\u4e2a\u4eba\u53d7\u5230\u4ed6\u4eba\u5c0a\u91cd\u548c\u5c0a\u91cd\u81ea\u5df1\u7684\u6743\u5229\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-028e9ea5a8a57889013f87337f5ccd69<SEP>chunk-0311842a31e9caf90dce6a2d5ca6e6eb'})"
578,"(_578:劳动光荣 {description: '""\u5f3a\u8c03\u52b3\u52a8\u8005\u7684\u4ef7\u503c\u548c\u5c0a\u4e25\u3002""', entity_type: '""\u6982\u5ff5""', source_id: 'chunk-028e9ea5a8a57889013f87337f5ccd69'})"
579,"(_579:凉 {description: '""\u5f62\u5bb9\u4e94\u4e00\u671f\u95f4\u7684\u5929\u6c14\u60c5\u51b5\u3002""', entity_type: '""\u6982\u5ff5""', source_id: 'chunk-1b333c46d06fe05272ca831661f40343'})"
580,"(_580:今晚 {description: '""\u4ece\u4eca\u665a\u5f00\u59cb\u4e0b\u96e8\u7684\u65f6\u95f4\u70b9\u3002""', entity_type: '""\u65f6\u95f4""', source_id: 'chunk-bfa31ab07d51f9d105a4e766fac51036'})"
581,"(_581:西安 {description: '""\u4e0d\u4e0b\u96e8\u7684\u57ce\u5e02\uff0c\u5438\u5f15\u4eba\u4eec\u524d\u5f80\u3002""<SEP>""\u4ece\u4eca\u665a\u5f00\u59cb\u4e0b\u96e8\u7684\u57ce\u5e02\u3002""<SEP>""\u4f4d\u4e8e\u4e2d\u56fd\u897f\u5317\u90e8\u7684\u57ce\u5e02\uff0c\u88ab\u8a89\u4e3a\u5341\u4e09\u671d\u53e4\u90fd\u3002""<SEP>""\u9884\u8ba16\u53f7\u98de\u5f80\u7684\u57ce\u5e02\uff0c\u53ef\u80fd\u505c\u7559\u56db\u4e94\u5929\u3002""<SEP>""\u5343\u5e74\u53e4\u90fd\uff0c\u88ab\u63a8\u8350\u4f5c\u4e3a\u65c5\u6e38\u76ee\u7684\u5730\u3002""<SEP>""\u897f\u5b89\uff0c\u5929\u6c14\u7279\u522b\u597d\u7684\u57ce\u5e02\u3002""<SEP>""\u897f\u5b89\uff0c\u9655\u897f\u7701\u7684\u7701\u4f1a\u57ce\u5e02\u3002""<SEP>""\u6b22\u8fce\u5927\u5bb6\u524d\u5f80\u6e38\u73a9\u7684\u57ce\u5e02\u3002""', entity_type: '""\u5730\u7406\u4f4d\u7f6e""', source_id: 'chunk-dbc6c2cd18050f36c0d5fef9e29d1625<SEP>chunk-aed2ec3b7b8ec1b3794f1adad70d74c3<SEP>chunk-e32f94d509e9877647b21587832c6de5<SEP>chunk-3e846490de5bc0be4b8a01ae360550fc<SEP>chunk-40df1eafb851d643f725b26bd0f71ab1<SEP>chunk-bfa31ab07d51f9d105a4e766fac51036<SEP>chunk-ea2cd7f57b9f0b0b08e6dab06e0489cf'})"
582,"(_582:好好休息 {description: '""\u4e94\u4e00\u671f\u95f4\u4eba\u4eec\u5e0c\u671b\u8fdb\u884c\u7684\u653e\u677e\u6d3b\u52a8\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-45d7100fed64c634c4ccf80dce02723b'})"
583,"(_583:一天假期 {description: '""\u4e94\u4e00\u52b3\u52a8\u8282\u4ec5\u6709\u7684\u653e\u5047\u4e00\u5929\u3002""<SEP>""\u4e94\u4e00\u957f\u5047\u671f\u95f4\u7684\u4e00\u5929\uff0c\u901a\u5e38\u6307\u6cd5\u5b9a\u5047\u671f\u3002""<SEP>""\u6307\u4ee3\u4e00\u5929\u65f6\u95f4\u7684\u5047\u671f\u5b89\u6392\u3002""<SEP>""\u56fd\u5e86\u5047\u671f\u4e2d\u5b9e\u9645\u653e\u5047\u7684\u4e00\u5929\u3002""<SEP>""\u653e\u5047\u671f\u95f4\u7684\u4e00\u5929\u3002""', entity_type: '""\u65f6\u95f4""', source_id: 'chunk-a198a156a0e978d8e21a37aa7ecc606e<SEP>chunk-fc086d2f453269a52fcf41912b1939df<SEP>chunk-fa6cd8f4ca93e93aeb942e98602c429e<SEP>chunk-45d7100fed64c634c4ccf80dce02723b<SEP>chunk-8bb10e7f4545f4c1e189746967b45249'})"
584,"(_584:五一长假 {description: '""\u4e94\u4e00\u957f\u5047\u662f\u6307\u4e94\u4e00\u5047\u671f\u671f\u95f4\u7684\u957f\u5047\u671f\uff0c\u901a\u5e38\u5305\u62ec\u4e94\u5929\u5047\u671f\uff0c\u6709\u65f6\u4f1a\u6839\u636e\u8c03\u4f11\u5236\u5ea6\u589e\u52a0\u989d\u5916\u5929\u6570\u3002""<SEP>""\u6307\u4e94\u4e00\u671f\u95f4\u7684\u5047\u671f\uff0c\u5e38\u7528\u6765\u4f11\u606f\u548c\u51fa\u884c\u3002""<SEP>""\u6307\u4ee3\u4e94\u6708\u4efd\u7684\u5047\u671f\uff0c\u901a\u5e38\u6307\u4e94\u4e00\u52b3\u52a8\u8282\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-bcac6add4cd03d1cdc91ebdfaa679df1<SEP>chunk-4d883d1ddef694c23283ee8140e96199<SEP>chunk-45d7100fed64c634c4ccf80dce02723b'})"
585,"(_585:在家休息 {description: '""\u4e0a\u73ed\u65cf\u9009\u62e9\u5728\u5047\u671f\u540e\u4f11\u606f\u5728\u5bb6\u3002""<SEP>""\u4eba\u4eec\u9009\u62e9\u5728\u4e94\u4e00\u5047\u671f\u5728\u5bb6\u4f11\u606f\u7684\u6d3b\u52a8\u3002""<SEP>""\u9009\u62e9\u5728\u5bb6\u653e\u677e\u548c\u4f11\u606f\u7684\u884c\u4e3a\u3002""<SEP>""\u4eba\u4eec\u5728\u8c03\u4f11\u671f\u95f4\u9009\u62e9\u7684\u6d3b\u52a8\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-f4356cf2f0753a979d6e7e3d5e692291<SEP>chunk-45d7100fed64c634c4ccf80dce02723b<SEP>chunk-dbf9c378371817323899589c790265da<SEP>chunk-2fa26bf0dc9a5d9ae4d14d35c07416c1'})"
586,"(_586:五一窜休 {description: '""\u4e94\u4e00\u671f\u95f4\u7684\u8c03\u4f11\u5b89\u6392\uff0c\u53ef\u80fd\u5f71\u54cd\u5047\u671f\u5b89\u6392\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-45d7100fed64c634c4ccf80dce02723b'})"
587,"(_587:老公 {description: '""\u8bc4\u8bba\u8005\u7684\u4e08\u592b\uff0c\u8bc4\u8bba\u8005\u63d0\u5230\u53ef\u80fd\u4f1a\u548c\u5176\u5435\u67b6\u3002""', entity_type: '""\u4eba\u7269""', source_id: 'chunk-b47269f5b3e89ecfda2fe1db537dedae'})"
588,"(_588:姐妹 {description: '""\u63d0\u5230\u59d0\u59b9\u4eec\u4e00\u8d77\u8fdb\u884c\u7684\u6d3b\u52a8\u3002""<SEP>""\u8bc4\u8bba\u8005\u9080\u7ea6\u4e94\u4e00\u51fa\u53bb\u73a9\u7684\u7fa4\u4f53\u3002""', entity_type: '""\u4eba\u7269""', source_id: 'chunk-b47269f5b3e89ecfda2fe1db537dedae<SEP>chunk-c22897d5e50247b115d562ad2fa7212e'})"
589,"(_589:吵架 {description: '""\u8bc4\u8bba\u8005\u8ba1\u5212\u4e0e\u8001\u516c\u8fdb\u884c\u7684\u6d3b\u52a8\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-b47269f5b3e89ecfda2fe1db537dedae'})"
590,"(_590:旅游意愿 {description: '""\u4e94\u4e00\u671f\u95f4\u4eba\u4eec\u5bf9\u4e8e\u65c5\u6e38\u7684\u610f\u613f\u548c\u6253\u7b97\u3002""', entity_type: '""\u6982\u5ff5""', source_id: 'chunk-19e21619d73bf980fc8a80fb33d84fb0'})"
591,"(_591:游玩地点 {description: '""\u4e94\u4e00\u671f\u95f4\u53ef\u80fd\u8003\u8651\u6e38\u73a9\u7684\u5730\u65b9\u3002""<SEP>""\u4e94\u4e00\u671f\u95f4\u8003\u8651\u7684\u5730\u70b9\u7c7b\u578b\u3002""', entity_type: '""\u7c7b\u522b""', source_id: 'chunk-7e68a8e3a63095365dddc0a8e7f3f174<SEP>chunk-19e21619d73bf980fc8a80fb33d84fb0'})"
592,"(_592:经济状况 {description: '""\u5f71\u54cd\u4e2a\u4eba\u51b3\u7b56\u7684\u7ecf\u6d4e\u6761\u4ef6\u3002""<SEP>""\u5f71\u54cd\u4eba\u4eec\u4e94\u4e00\u671f\u95f4\u51fa\u884c\u51b3\u7b56\u7684\u7ecf\u6d4e\u72b6\u51b5\u3002""<SEP>""\u5f71\u54cd\u8bc4\u8bba\u8005\u51fa\u884c\u51b3\u7b56\u7684\u7ecf\u6d4e\u72b6\u51b5\u3002""<SEP>""\u63cf\u8ff0\u5047\u671f\u671f\u95f4\u7684\u7ecf\u6d4e\u72b6\u51b5\u7c7b\u522b\u3002""<SEP>""\u5f71\u54cd\u4eba\u4eec\u9009\u62e9\u6d3b\u52a8\u7684\u7ecf\u6d4e\u56e0\u7d20\u3002""<SEP>""\u6d89\u53ca\u5230\u4eca\u5e74\u8d5a\u94b1\u96be\u548c\u4e71\u82b1\u94b1\uff0c\u662f\u5f71\u54cd\u6d88\u8d39\u884c\u4e3a\u7684\u5173\u952e\u56e0\u7d20\u3002""<SEP>""\u6d89\u53ca\u4f5c\u8005\u56e0\u62c9\u809a\u5b50\u800c\u8003\u8651\u8282\u7701\u5f00\u652f\u7684\u7ecf\u6d4e\u72b6\u51b5\u7c7b\u522b\u3002""<SEP>""\u5f71\u54cd\u5458\u5de5\u548c\u8001\u677f\u4e70\u623f\u80fd\u529b\u7684\u793e\u4f1a\u7ecf\u6d4e\u72b6\u6001\u3002""<SEP>""\u5f71\u54cd\u4e94\u4e00\u5047\u671f\u51fa\u884c\u51b3\u7b56\u7684\u56e0\u7d20\u3002""<SEP>""\u8bc4\u8bba\u8005\u8ba4\u4e3a\u7ecf\u6d4e\u72b6\u51b5\u662f\u5f71\u54cd\u8c03\u4f11\u653f\u7b56\u7684\u5173\u952e\u56e0\u7d20\u3002""', entity_type: '""\u6982\u5ff5""', source_id: 'chunk-6178605703ca0a99e1cbe6c0f623120b<SEP>chunk-18586b1cd36f457d0f16ac63a8cd3712<SEP>chunk-7da4ba07f5df33368288a09889ed6ad9<SEP>chunk-9c5a53e0843528e479df2f5cc7fb26da<SEP>chunk-eb6d093bb712a1990c74e8e3cbaf36de<SEP>chunk-19e21619d73bf980fc8a80fb33d84fb0<SEP>chunk-20c210c1ca51530f55c545778e4f8965<SEP>chunk-140aca47d5e8c77d84999ce81913cd1d<SEP>chunk-fe05397e9b9d34acc1d27d331eda2f0a'})"
593,"(_593:雨 {description: '""\u4e0b\u96e8\u7684\u5730\u70b9\u3002""<SEP>""\u4e0b\u96e8\u7684\u5929\u6c14\u72b6\u51b5\u3002""<SEP>""\u4e0b\u96e8\u7684\u5929\u6c14\u73b0\u8c61\u3002""<SEP>""\u96e8\u4e2d\u6f2b\u6b65\u6d3b\u52a8\u53d1\u751f\u7684\u5929\u6c14\u72b6\u51b5\u3002""<SEP>""\u96e8\uff0c\u4e00\u4e2a\u81ea\u7136\u73b0\u8c61\u4e8b\u4ef6\u3002""<SEP>""\u91cd\u5e86\u8fde\u7eed\u51e0\u5929\u51fa\u73b0\u7684\u5929\u6c14\u73b0\u8c61\u3002""<SEP>""\u6307\u4ee3\u4e0b\u96e8\u7684\u5929\u6c14\u73b0\u8c61\u3002""<SEP>""\u4eca\u5929\u4e0b\u7684\u5927\u96e8\u4e8b\u4ef6\u3002""<SEP>""\u8d4f\u96e8\u7684\u5bf9\u8c61\u3002""<SEP>""\u53ef\u80fd\u5f71\u54cd\u4e94\u4e00\u6d3b\u52a8\u5929\u6c14\u7684\u56e0\u7d20\u3002""<SEP>""\u4e0b\u96e8\u7684\u5929\u6c14\u60c5\u51b5\uff0c\u5bfc\u81f4\u4e0d\u60f3\u51fa\u95e8\u3002""<SEP>""\u5929\u6c14\u73b0\u8c61\uff0c\u6307\u4ece\u4e91\u5c42\u4e2d\u964d\u843d\u7684\u6db2\u6001\u6c34\u6ef4\u3002""<SEP>""\u6df1\u5733\u5730\u533a\u53d1\u751f\u7684\u964d\u96e8\u4e8b\u4ef6\u3002""<SEP>""\u63cf\u8ff0\u4e86\u5728\u5bb6\u89c2\u770b\u96e8\u7684\u5929\u6c14\u73b0\u8c61\u3002""<SEP>""\u63cf\u8ff0\u5929\u6c14\u72b6\u51b5\u7684\u4e8b\u4ef6\u3002""<SEP>""\u4e0b\u96e8\u7684\u5929\u6c14\u72b6\u51b5\u3002""<SEP>""\u5e7f\u4e1c\u5730\u533a\u53d1\u751f\u7684\u964d\u96e8\u4e8b\u4ef6\u3002""<SEP>""\u63d0\u53ca\u4e86\u4e0b\u96e8\u8fd9\u4e00\u5929\u6c14\u4e8b\u4ef6\u3002""<SEP>""\u8fd9\u573a\u96e8\u963b\u6b62\u4eba\u4eec\u65c5\u6e38\u7684\u81ea\u7136\u73b0\u8c61\u3002""<SEP>""\u5f71\u54cd\u6e38\u5ba2\u524d\u5f80\u666f\u533a\u7684\u5929\u6c14\u4e8b\u4ef6\u3002""<SEP>""\u5bfc\u81f4\u9884\u5b9a\u9152\u5e97\u65e0\u6cd5\u4f7f\u7528\u548c\u6e38\u73a9\u6d3b\u52a8\u53d6\u6d88\u7684\u5929\u6c14\u73b0\u8c61\u3002""<SEP>""\u81ea\u7136\u73b0\u8c61\uff0c\u6307\u6c34\u6c7d\u51dd\u7ed3\u540e\u4ece\u5929\u7a7a\u964d\u843d\u7684\u6db2\u6001\u6c34\u3002""<SEP>""\u63d0\u53ca\u7684\u81ea\u7136\u73b0\u8c61\uff0c\u5373\u964d\u96e8\u3002""<SEP>""\u6307\u7684\u662f\u90a3\u5e74\u5341\u4e00\u653e\u5047\u671f\u95f4\u8fde\u7eed\u4e0b\u516d\u5929\u7684\u5929\u6c14\u72b6\u51b5\u3002""<SEP>""\u63cf\u8ff0\u7684\u5929\u6c14\u73b0\u8c61\u3002""<SEP>""\u6cc9\u5dde\u8fde\u7eed\u4e00\u4e2a\u6708\u7684\u964d\u96e8\u4e8b\u4ef6\u3002""<SEP>""\u6b66\u6c49\u6b63\u5728\u7ecf\u5386\u7684\u4e00\u573a\u5927\u96e8\u3002""', entity_type: '""\u4e8b\u4ef6""', source_id: 'chunk-af6ca6b6e94e53bb74179419f4ee46ce<SEP>chunk-f9d2a5bc5af6ac7fa55cd27fb1dfa807<SEP>chunk-e30edae8427746ffecb279459917acbb<SEP>chunk-907b6c7a0f5371c92bdb7ff59aeb1925<SEP>chunk-4d74fc07ff6a278d1833118ce8e578d9<SEP>chunk-ee7a13b1c5cb044576f6d2b64b08c8a2<SEP>chunk-811a09a92203be265222318b99ff4be2<SEP>chunk-ffbba68102e6633c27f6f386c98b25d4<SEP>chunk-956c731b693d15db9e9617be6b0ce37f<SEP>chunk-46781a7d2f66e8cffb246af61e0a7c42<SEP>chunk-2a88cb5da09aed5264c371e26748e82c<SEP>chunk-cc0284086eb960fd7d29a404c3777f75<SEP>chunk-ba4364e13ce364d96f8174bdfe7966ee<SEP>chunk-b5d0eb2faa460229d72c07ae8f187dd8<SEP>chunk-5cb9439b7fccdcf227aa9a4ebcaf2f0a<SEP>chunk-43c4049897b299ca13fa123a2cc06b9d<SEP>chunk-38e97449a9944bf7ea1f4f5b0347fb1f<SEP>chunk-638dc42c096502d3dd3a802c45328809<SEP>chunk-5e9c8d4e38458891ed1fa392812a4ec5<SEP>chunk-3a4a4e003c86842d1f64f5202dc16031<SEP>chunk-9e99eaf7c55027801814a507de3abb61<SEP>chunk-7ef6e6dba59f60952d6088709e02b466<SEP>chunk-92d91c5e418052bbbd19574f576cab32<SEP>chunk-02493e387aec59bf315c3a05f321ad3a<SEP>chunk-5aaaccf36b9dcd0ae9b912c76eb6dfb7<SEP>chunk-3000f6dc7a6cd6c4a7305eceec9a63f1'})"
